BR1,DSBath,BR2,Hallway,DiningRoom,LivingRoom,Laundry,USBath,RecRoom,Kitchen,Total
13.63,5.39,16.24,3.97,12.26,24.73,3.72,1.99,55.64,12.68,154.66
76.524278,78.205892,78.385532,78.324458,78.44279,77.97398,78.249056,80.706164,81.472982,77.634176,79.222406
76.100882,78.146366,78.329804,78.292076,78.379952,77.866178,78.16496,80.513708,81.327704,77.376524,79.074356
75.75494,78.086786,78.279692,78.258938,78.325106,77.75753,78.088658,80.339018,81.234158,77.1386,78.955088
75.34553,78.024254,78.227096,78.225998,78.259964,77.456192,77.979218,80.11184,81.035996,76.818146,78.75257
74.947172,77.922302,78.173132,78.192572,78.199178,77.12942,77.777294,79.923524,80.876318,76.517744,78.559394
74.642162,77.692298,77.99981,78.149714,78.13832,76.76195,77.553338,79.677806,80.616056,76.328492,78.317798
75.2558,77.630342,78.105398,78.099098,78.262214,76.605188,77.764928,79.577672,80.532536,77.156006,78.400292
76.284842,77.864342,78.426194,78.065258,78.750374,77.194742,78.362222,79.757312,80.930066,77.940914,78.89342
77.042966,78.00638,78.648908,78.081584,78.9674,77.994842,78.723896,80.274992,81.560264,78.397106,79.419596
78.433034,78.158534,78.81386,78.126026,79.058138,78.412118,78.913166,80.823488,81.997952,80.29076,79.968002
80.122802,78.313676,78.96344,78.171638,79.17557,78.78281,79.093436,81.305114,82.20245,81.779432,80.417948
81.568058,78.462446,79.077542,78.231092,79.272464,79.143476,79.257794,81.756896,82.467212,82.83524,80.825396
82.955786,78.627686,79.204226,78.301688,79.387718,79.55069,79.419344,82.232384,82.68656,84.0713,81.237506
84.42905,78.772604,79.294784,78.37898,79.469996,79.776824,79.573352,82.566932,82.78484,84.96968,81.547628
84.870644,78.864116,79.271168,78.454058,79.406852,79.661318,79.620818,82.489496,82.549724,84.72362,81.46256
84.66026,78.891134,79.156112,78.507122,79.324358,79.505384,79.53125,82.591394,82.649282,84.133922,81.388166
80.291354,78.864062,79.039904,78.533078,79.2158,79.39319,79.424744,82.553522,82.695272,79.989332,80.639222
79.105946,78.767132,78.908612,78.528596,79.063034,79.116638,79.22642,82.32647,82.478948,79.02644,80.296412
78.479276,78.66239,78.81134,78.516104,78.94382,78.85634,79.009826,82.194152,82.550354,78.61163,80.158604
78.059336,78.567584,78.731276,78.493352,78.853028,78.659762,78.83285,82.005638,82.497254,78.338588,80.020112
77.782154,78.485522,78.665252,78.464876,78.772568,78.509714,78.696734,81.773888,82.370048,78.14705,79.885184
77.553536,78.412136,78.599192,78.435086,78.691712,78.366326,78.578366,81.519584,82.171382,77.986094,79.732706
77.44262,78.345752,78.53414,78.40472,78.61505,78.234116,78.467936,81.280688,81.97565,77.794628,79.592018
77.029682,78.284192,78.471158,78.374138,78.541556,78.109592,78.361772,81.05342,81.799862,77.947646,79.462346
